PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:44:15.169,2977139402,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:17.278,2979165512,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:19.205,2981179774,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:21.172,2983153573,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:23.200,2985184358,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:25.170,2987164832,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:27.216,2989170081,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:29.323,2991207379,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:31.189,2993174472,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:33.201,2995183305,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:35.204,2997192531,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:37.208,2999191619,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:39.234,3001192986,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:41.211,3003195234,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:45.219,3007206264,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:47.254,3009215917,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:49.253,3011217742,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:51.588,3013224742,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:53.273,3015255163,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:57.281,3019252285,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:59.273,3021261763,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:45:00.354,3022342676,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106AB20CAAAF1BD7C08C8C4F6D422EA571C,27,0,0,1,0
2026-05-03 05:45:02.383,3024367555,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106AB20CAAAF1BD7C08C8C4F6D422EA571C,27,0,0,1,0
2026-05-03 05:45:04.354,3026348797,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106AB20CAAAF1BD7C08C8C4F6D422EA571C,27,0,0,1,0
2026-05-03 05:45:06.377,3028354755,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106AB20CAAAF1BD7C08C8C4F6D422EA571C,27,0,0,1,0
2026-05-03 05:45:08.386,3030368350,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106AB20CAAAF1BD7C08C8C4F6D422EA571C,27,0,0,1,0
2026-05-03 05:45:09.619,3031575998,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:13.693,3035545742,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
